Parameter,Outcome,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm
Electricity Trade Volume,Shedding Flexibility Capacity 2050,0.06517609553265698,0.06517609553265698,0.008334699921912676,0.0,0.0,0.0004572715768427638
WACC,Shedding Flexibility Capacity 2050,0.09792184095823561,0.09792184095823561,0.008235011966775053,0.0,0.0,0.3065951870694038
Bunker Emission Reduction,Shedding Flexibility Capacity 2050,0.09669890741950782,0.09669890741950782,0.00680363264551442,0.0,0.0,0.2951620582929361
End-of-Life Emission Reduction,Shedding Flexibility Capacity 2050,0.0685927210552085,0.0685927210552085,0.007975315553490183,0.0,0.0,0.032399088808328876
CO2 Cap,Storage Flexibility Capacity 2050,0.06995548177097798,0.06995548177097798,0.012115409643243404,0.0,0.0,0.13475096847843612
Buildings demand,Storage Flexibility Capacity 2050,0.06056943440607428,0.06056943440607428,0.010418927958141576,0.0,0.0,0.06635482064263239
Steel Production,Storage Flexibility Capacity 2050,0.07371118912735485,0.07371118912735485,0.010731395537355248,0.0,0.0,0.16211881626229435
Chemical Production,Storage Flexibility Capacity 2050,0.07799246381593088,0.07799246381593088,0.010919050906678652,0.0,0.0,0.19331647435428878
Passenger Cars,Storage Flexibility Capacity 2050,0.05902920619807423,0.05902920619807423,0.01007707923207703,0.0,0.0,0.055131174296125046
Bunker aviation,Storage Flexibility Capacity 2050,0.07354692497992503,0.07354692497992503,0.010177168163863081,0.0,0.0,0.1609218230579193
Bunker navigation,Storage Flexibility Capacity 2050,0.06583566754808896,0.06583566754808896,0.01078923323606853,0.0,0.0,0.10472987315577739
Agriculture neGHG CH4,Storage Flexibility Capacity 2050,0.07291479870695389,0.07291479870695389,0.00839751080162532,0.0,0.0,0.15631551751351153
Agriculture neGHG N2O,Storage Flexibility Capacity 2050,0.06474591519875057,0.06474591519875057,0.009045496216969642,0.0,0.0,0.09678884538422962
Wind offshore Costs,Storage Flexibility Capacity 2050,0.06342557734138107,0.06342557734138107,0.011667664779488785,0.0,0.0,0.08716754050742653
Wind offshore Potential,Storage Flexibility Capacity 2050,0.0778646961740325,0.0778646961740325,0.010932853595708376,0.0,0.0,0.1923854312661631
Solar PV Costs,Storage Flexibility Capacity 2050,0.06465554921483012,0.06465554921483012,0.010483295749920022,0.0,0.0,0.09613034826022596
Solar PV Potential,Storage Flexibility Capacity 2050,0.07853176959471803,0.07853176959471803,0.011859574371033724,0.0,0.0,0.1972463967529925
Nuclear Costs,Storage Flexibility Capacity 2050,0.08045676876738483,0.08045676876738483,0.009609142469335289,0.0,0.0,0.2112738699670987
Nuclear Potential,Storage Flexibility Capacity 2050,0.07391280016674613,0.07391280016674613,0.01081437942542348,0.0,0.0,0.16358795635070875
Hydrogen Import Potential,Storage Flexibility Capacity 2050,0.071199484172239,0.071199484172239,0.009510509355218895,0.0,0.0,0.14381601671832603
Hydrogen Import Price,Storage Flexibility Capacity 2050,0.07984203890739354,0.07984203890739354,0.011144756546582348,0.0,0.0,0.20679433212241846
Biomass Import Potential,Storage Flexibility Capacity 2050,0.0725355128555061,0.0725355128555061,0.009129814682775371,0.0,0.0,0.15355166067802908
Biomass Import Price,Storage Flexibility Capacity 2050,0.10417546270621596,0.10417546270621596,0.011179196355355593,0.0,0.0,0.3841120449776422
Ammonia Import Potential,Storage Flexibility Capacity 2050,0.0768552756764251,0.0768552756764251,0.009963572303061885,0.0,0.0,0.18502978187523822
Ammonia Import Price,Storage Flexibility Capacity 2050,0.09907139661058739,0.09907139661058739,0.013138829028666487,0.0,0.0,0.3469187040889446
CCS potential,Storage Flexibility Capacity 2050,0.07663545320589618,0.07663545320589618,0.010763406523329199,0.0,0.0,0.18342793504798413
Flexibility Costs,Storage Flexibility Capacity 2050,0.1422644035203588,0.1422644035203588,0.012825506832110261,0.0,0.0,0.6616662406419873
LNG Price,Storage Flexibility Capacity 2050,0.0671303013512541,0.0671303013512541,0.011098297195772391,0.0,0.0,0.11416387253293905
Electricity Trade Price,Storage Flexibility Capacity 2050,0.08966370366064785,0.08966370366064785,0.01107623445218001,0.0,0.0,0.2783648248272757
Weather Conditions,Storage Flexibility Capacity 2050,0.18869416295803693,0.18869416295803693,0.012173913495855976,0.0,0.0,1.0
Electricity Trade Ratio,Storage Flexibility Capacity 2050,0.16212099246987743,0.16212099246987743,0.010892577738650815,0.0,0.0,0.8063612480829601
Electricity Trade Volume,Storage Flexibility Capacity 2050,0.08857929491691609,0.08857929491691609,0.011882225261382034,0.0,0.0,0.2704627359215613
WACC,Storage Flexibility Capacity 2050,0.08366590638100849,0.08366590638100849,0.012484165615962314,0.0,0.0,0.23465886283082202
Bunker Emission Reduction,Storage Flexibility Capacity 2050,0.051463519685020186,0.051463519685020186,0.009780872810169905,0.0,0.0,0.0
End-of-Life Emission Reduction,Storage Flexibility Capacity 2050,0.07770986324501417,0.07770986324501417,0.009406667130524267,0.0,0.0,0.19125716337113988
CO2 Cap,SynFuel Production 2050,0.08199402592793577,0.08199402592793577,0.0067431687974413524,0.0,0.0,0.06334694232151446
Buildings demand,SynFuel Production 2050,0.07939640856564964,0.07939640856564964,0.004688191966194558,0.0,0.0,0.049344448109729405
Steel Production,SynFuel Production 2050,0.0808988293714998,0.0808988293714998,0.006440349673939475,0.0,0.0,0.05744326933837537
Chemical Production,SynFuel Production 2050,0.0872218587822919,0.0872218587822919,0.006333703819859306,0.0,0.0,0.09152765143830169
Passenger Cars,SynFuel Production 2050,0.09363742289967604,0.09363742289967604,0.006219969270187772,0.0,0.0,0.1261108432213847
Bunker aviation,SynFuel Production 2050,0.09651707186123362,0.09651707186123362,0.006012995005277581,0.0,0.0,0.14163363287532194
Bunker navigation,SynFuel Production 2050,0.0901798240728796,0.0901798240728796,0.005576903655215487,0.0,0.0,0.10747260640413359
Agriculture neGHG CH4,SynFuel Production 2050,0.08404198253425128,0.08404198253425128,0.006353915615317063,0.0,0.0,0.0743864822253755
Agriculture neGHG N2O,SynFuel Production 2050,0.08564652004658341,0.08564652004658341,0.006430060007372013,0.0,0.0,0.08303576504709533
