kpi,parameter,delta,ci_lo,ci_hi
co2_price,LNG Price,0.04172459109439114,0.05882973542759183,0.06798697787560473
co2_price,Electricity Trade Price,0.05381925907033371,0.06597655946341979,0.07519867326367258
co2_price,Weather Conditions,0.06098057542372105,0.07153488039367885,0.08104084190488044
co2_price,Electricity Trade Ratio,0.09331494132644448,0.0976938652789014,0.10965305848964627
co2_price,Electricity Trade Volume,0.08714035899627456,0.09397973890938144,0.10625314913689828
co2_price,WACC,0.06570367866846405,0.07567251142587446,0.08456199378373047
co2_price,Bunker Emission Reduction,0.06155243408872428,0.07288289391765729,0.08277996002024811
co2_price,End-of-Life Emission Reduction,0.06796404707191292,0.07745328956957723,0.08649219788081654
elec_price_hv,CO2 Cap,0.05005615156786098,0.060169743365790535,0.06908138178397227
elec_price_hv,Buildings demand,0.053567308469992976,0.06172140828385542,0.07060474784409951
elec_price_hv,Steel Production,0.04376454087210811,0.053434390227274496,0.06360499737725345
elec_price_hv,Chemical Production,0.04326774852887789,0.055222456394076073,0.06282765007065008
elec_price_hv,Passenger Cars,0.04635637860244314,0.05555332085830262,0.0650854425944102
elec_price_hv,Bunker aviation,0.041592443360807405,0.053511045965508146,0.062001945200267555
elec_price_hv,Bunker navigation,0.049491479626765755,0.058147368525315844,0.06919050012701439
elec_price_hv,Agriculture neGHG CH4,0.048516874304931235,0.05779541179487757,0.06626147940160552
elec_price_hv,Agriculture neGHG N2O,0.04480208734709588,0.05686313232397135,0.06433088839285539
elec_price_hv,Wind offshore Costs,0.047440732991837944,0.0580339408820224,0.0661932553468546
elec_price_hv,Wind offshore Potential,0.06460844485037028,0.07100185563781387,0.08061939154594396
elec_price_hv,Solar PV Costs,0.04590691724516456,0.05656359833135517,0.06701487130266598
elec_price_hv,Solar PV Potential,0.04144491996858773,0.05400397454732839,0.062033680808263325
elec_price_hv,Nuclear Costs,0.048425183687211576,0.05695249996430997,0.0684352578510954
elec_price_hv,Nuclear Potential,0.04553626426083821,0.056131296460915414,0.06416018128344976
elec_price_hv,Hydrogen Import Potential,0.04498078338931899,0.05619628071538109,0.06302822701689971
elec_price_hv,Hydrogen Import Price,0.0573811917140966,0.06534195333583626,0.0745713794085222
elec_price_hv,Biomass Import Potential,0.06162068938443707,0.06818894910269636,0.07847751982159133
elec_price_hv,Biomass Import Price,0.07347252129011661,0.07930471288344501,0.09151020805273344
elec_price_hv,Ammonia Import Potential,0.05852403577639875,0.06522993183366035,0.07381028012148878
elec_price_hv,Ammonia Import Price,0.05238351199701662,0.06201674450908143,0.07153069321116118
elec_price_hv,CCS potential,0.07922262104813982,0.08633763053932954,0.09670756983352415
elec_price_hv,Flexibility Costs,0.04459473098802674,0.0556812155583874,0.06466889770045385
elec_price_hv,LNG Price,0.04811352963930297,0.05704445748222639,0.06652918357268413
elec_price_hv,Electricity Trade Price,0.04918851863219195,0.057924412643625106,0.06622025671000302
elec_price_hv,Weather Conditions,0.059080824048604944,0.06577984296677505,0.07605756694563605
elec_price_hv,Electricity Trade Ratio,0.06737570915982022,0.07607197794090294,0.08406238607989827
elec_price_hv,Electricity Trade Volume,0.06713233732769666,0.07502351381105572,0.08447327561909371
elec_price_hv,WACC,0.04917361001508609,0.05900531292025618,0.0677726797857162
elec_price_hv,Bunker Emission Reduction,0.047268093465253645,0.05762852320296925,0.0678851262816956
elec_price_hv,End-of-Life Emission Reduction,0.07955486322998262,0.08517951588063406,0.09383698116901533
elec_price_lv,CO2 Cap,0.05452412378536414,0.06935544887052186,0.07857153062988487
elec_price_lv,Buildings demand,0.058161558462825974,0.07323441321011251,0.08180169471002456
elec_price_lv,Steel Production,0.053047656244834734,0.06856061462409561,0.07822830736477185
elec_price_lv,Chemical Production,0.05816889550587233,0.07287215822421063,0.07999361647764199
elec_price_lv,Passenger Cars,0.05126899036406829,0.06572573474126503,0.0734451082151837
elec_price_lv,Bunker aviation,0.05252915423188882,0.06759790427771441,0.07899170478619633
